ALDGEST to WCHAPEL duplicate found. 1st Distance: 620, Line Code EB . 2nd Distance: 560, Line Code WB
CFLDJN to MNCRDGT duplicate found. 1st Distance: 293, Line Code UB . 2nd Distance: 202, Line Code ML
CNTBW to CNTBWGL duplicate found. 1st Distance: 583, Line Code L2 . 2nd Distance: 543, Line Code L1
CREWBHJ to CREWBHN duplicate found. 1st Distance: 875, Line Code DSI . 2nd Distance: 1750, Line Code DA
CREWBHJ to CREWBHN duplicate found. 1st Distance: 875, Line Code DFI . 2nd Distance: 1750, Line Code DA
DONCDDF to DONCDDG duplicate found. 1st Distance: 50, Line Code [5] . 2nd Distance: 0, Line Code [2]
DONCDDG to DONCDDY duplicate found. 1st Distance: 50, Line Code [5] . 2nd Distance: 0, Line Code [1]
DONCDDY to DONCRMT duplicate found. 1st Distance: 38, Line Code [2] . 2nd Distance: 100, Line Code [1]
DRIGG to DRIGBNF duplicate found. 1st Distance: 7, Line Code [2] . 2nd Distance: 14, Line Code [1]
EBOLDUL to EBOLDON duplicate found. 1st Distance: 200, Line Code [1] . 2nd Distance: 0, Line Code [2]
ELCT to KNSGHST duplicate found. 1st Distance: 540, Line Code [2] . 2nd Distance: 490, Line Code [4]
ELCT to SKENSIN duplicate found. 1st Distance: 480, Line Code WB . 2nd Distance: 1000, Line Code EB
HRLWMRR to HRLWMLY duplicate found. 1st Distance: 3, Line Code [2] . 2nd Distance: 20, Line Code [1]
HULLDKG to HULLBIG duplicate found. 1st Distance: 444, Line Code [1] . 2nd Distance: 1269, Line Code [2]
IMNGCPG to IMNGREF duplicate found. 1st Distance: 150, Line Code [2] . 2nd Distance: 120, Line Code [1]
IMNGFHH to IMNGCLA duplicate found. 1st Distance: 20, Line Code [2] . 2nd Distance: 10, Line Code [1]
IMNGHWJ to IMNGCT2 duplicate found. 1st Distance: 523, Line Code [1] . 2nd Distance: 0, Line Code [2]
IMNGLCR to IMNGLGB duplicate found. 1st Distance: 10, Line Code [1] . 2nd Distance: 0, Line Code [2]
IMNGLOR to IMNGLGB duplicate found. 1st Distance: 171, Line Code [1] . 2nd Distance: 1, Line Code [2]
KNSGHST to ELCT duplicate found. 1st Distance: 240, Line Code [1] . 2nd Distance: 150, Line Code [3]
LILBDGE to ELCT duplicate found. 1st Distance: 910, Line Code [1] . 2nd Distance: 610, Line Code [2]
LOWSTFR to LOWSTFT duplicate found. 1st Distance: 885, Line Code 2 . 2nd Distance: 1, Line Code E
LOWSTFR to LOWSTFT duplicate found. 1st Distance: 885, Line Code 1 . 2nd Distance: 1, Line Code E
LOWSTFR to LOWSTFT duplicate found. 1st Distance: 885, Line Code 3 . 2nd Distance: 1, Line Code E
MANSNHS to EMBKMNT duplicate found. 1st Distance: 2000, Line Code EB . 2nd Distance: 1950, Line Code WB
MDLSDSG to MDLSFHH duplicate found. 1st Distance: 50, Line Code OO . 2nd Distance: 0, Line Code [3]
MNCRDGT to CFLDJN duplicate found. 1st Distance: 293, Line Code DB . 2nd Distance: 202, Line Code ML
MOORPK to WTFDSJN duplicate found. 1st Distance: 1443, Line Code ML . 2nd Distance: 1353, Line Code [3]
MORGTLT to BRBCNLT duplicate found. 1st Distance: 350, Line Code [1] . 2nd Distance: 300, Line Code [2]
NEVLFPT to NEVLTMD duplicate found. 1st Distance: 50, Line Code [2] . 2nd Distance: 38, Line Code GL
NEVLTMD to NEVLFPT duplicate found. 1st Distance: 50, Line Code [1] . 2nd Distance: 10, Line Code [5]
SPWDJN to HDRSFLD duplicate found. 1st Distance: 643, Line Code OO . 2nd Distance: 0, Line Code P2
STAINES to STAIDGL duplicate found. 1st Distance: 402, Line Code OO . 2nd Distance: 10, Line Code _OO
STOCDC to STOCGBF duplicate found. 1st Distance: 5, Line Code [2] . 2nd Distance: 10, Line Code [1]
TOWERHL to ALDGEST duplicate found. 1st Distance: 250, Line Code [1] . 2nd Distance: 200, Line Code [2]
WBTNGBF to WBTNFHH duplicate found. 1st Distance: 338, Line Code [1] . 2nd Distance: 10, Line Code [2]
WESSNCB to WOLEYCS duplicate found. 1st Distance: 21, Line Code OO[2] . 2nd Distance: 0, Line Code OO
WLSDNNJ to WLSDWLJ duplicate found. 1st Distance: 597, Line Code FL . 2nd Distance: 497, Line Code SL
WLSDRRJ to WLSDHLS duplicate found. 1st Distance: 540, Line Code 34 . 2nd Distance: 140, Line Code RV
WLSDWLJ to WLSDNNJ duplicate found. 1st Distance: 597, Line Code FL . 2nd Distance: 497, Line Code SL
WSTBRYW to WSTBDRC duplicate found. 1st Distance: 50, Line Code DR . 2nd Distance: 5, Line Code OO
WTFDSJN to MOORPK duplicate found. 1st Distance: 1393, Line Code ML[2] . 2nd Distance: 1353, Line Code [4]
YORKGBF to YORKFHH duplicate found. 1st Distance: 10, Line Code [1] . 2nd Distance: 1, Line Code [2]
YORKPSG to YORK duplicate found. 1st Distance: 60, Line Code [1] . 2nd Distance: 0, Line Code DL
YORKPSG to YORK duplicate found. 1st Distance: 60, Line Code LSL . 2nd Distance: 0, Line Code DL
WCHAPEL to ALDGEST duplicate found. 1st Distance: 620, Line Code EB . 2nd Distance: 560, Line Code WB
APBYNE to APBY duplicate found. 1st Distance: 10, Line Code N . 2nd Distance: 241, Line Code S
APBY to APBYNE duplicate found. 1st Distance: 241, Line Code S . 2nd Distance: 10, Line Code N
BARO54 to BAROW duplicate found. 1st Distance: 644, Line Code DN . 2nd Distance: 40, Line Code OO
HAMDLUL to BRNSTLT duplicate found. 1st Distance: 270, Line Code [1] . 2nd Distance: 370, Line Code EB
BROXDPL to BROXBRN duplicate found. 1st Distance: 500, Line Code DPL . 2nd Distance: 50, Line Code DC
BROXBRN to BROXDPL duplicate found. 1st Distance: 50, Line Code DC . 2nd Distance: 500, Line Code DPL
BSTEDMS to BSTEDGL duplicate found. 1st Distance: 160, Line Code OO . 2nd Distance: 1, Line Code DGL
BUTROCT to BUTRDCR duplicate found. 1st Distance: 50, Line Code [1] . 2nd Distance: 830, Line Code [2]
BUTRDCR to BUTROCT duplicate found. 1st Distance: 830, Line Code [2] . 2nd Distance: 50, Line Code [1]
MNCRDGT to CFLDJN duplicate found. 1st Distance: 293, Line Code UB . 2nd Distance: 202, Line Code ML
CNTBWGL to CNTBW duplicate found. 1st Distance: 583, Line Code L2 . 2nd Distance: 543, Line Code L1
CORPFLT to CORPCPM duplicate found. 1st Distance: 10, Line Code W . 2nd Distance: 30, Line Code E
CORPCPM to CORPFLT duplicate found. 1st Distance: 30, Line Code E . 2nd Distance: 10, Line Code W
CREWBHN to CREWBHJ duplicate found. 1st Distance: 875, Line Code DSI . 2nd Distance: 1750, Line Code DA
CRGNTNY to CRGNFHH duplicate found. 1st Distance: 0, Line Code W . 2nd Distance: 50, Line Code E
CRGNFHH to CRGNTNY duplicate found. 1st Distance: 50, Line Code E . 2nd Distance: 0, Line Code W
CRKLUGL to CRKL2GL duplicate found. 1st Distance: 2, Line Code [2] . 2nd Distance: 14, Line Code [1]
CRKL2GL to CRKLUGL duplicate found. 1st Distance: 14, Line Code [1] . 2nd Distance: 2, Line Code [2]
DONCBDR to DONCBJN duplicate found. 1st Distance: 50, Line Code OO . 2nd Distance: 402, Line Code DR
DONCDDG to DONCDDF duplicate found. 1st Distance: 50, Line Code [5] . 2nd Distance: 0, Line Code [2]
DONCDDY to DONCDDG duplicate found. 1st Distance: 0, Line Code [1] . 2nd Distance: 543, Line Code WSL
DONCDDY to DONCDDG duplicate found. 1st Distance: 0, Line Code [3] . 2nd Distance: 543, Line Code WSL
DONCDDY to DONCDDG duplicate found. 1st Distance: 0, Line Code [4] . 2nd Distance: 543, Line Code WSL
DONCDDY to DONCDDG duplicate found. 1st Distance: 0, Line Code [2] . 2nd Distance: 543, Line Code WSL
DONCDDY to DONCDDG duplicate found. 1st Distance: 50, Line Code [5] . 2nd Distance: 543, Line Code WSL
DONCDDG to DONCDDY duplicate found. 1st Distance: 543, Line Code DS1 . 2nd Distance: 0, Line Code [1]
DONCRMT to DONCDDY duplicate found. 1st Distance: 38, Line Code [2] . 2nd Distance: 100, Line Code [1]
DRIGBNF to DRIGG duplicate found. 1st Distance: 7, Line Code [2] . 2nd Distance: 14, Line Code [1]
EBOLDON to EBOLDUL duplicate found. 1st Distance: 200, Line Code [1] . 2nd Distance: 0, Line Code [2]
EGLSCDL to EGLSCLF duplicate found. 1st Distance: 400, Line Code [1] . 2nd Distance: 0, Line Code [2]
KNSGHST to ELCT duplicate found. 1st Distance: 490, Line Code [4] . 2nd Distance: 150, Line Code [3]
KNSGHST to ELCT duplicate found. 1st Distance: 540, Line Code [2] . 2nd Distance: 150, Line Code [3]
SKENSIN to ELCT duplicate found. 1st Distance: 480, Line Code WB . 2nd Distance: 1000, Line Code EB
BRNSTLT to HAMDLUL duplicate found. 1st Distance: 370, Line Code EB . 2nd Distance: 270, Line Code [1]
MOORPK to HAROOTH duplicate found. 1st Distance: 2388, Line Code ML . 2nd Distance: 1545, Line Code ML[2]
SPWDJN to HDRSFLD duplicate found. 1st Distance: 643, Line Code _OO . 2nd Distance: 0, Line Code P2
SPWDJN to HDRSFLD duplicate found. 1st Distance: 643, Line Code _P2 . 2nd Distance: 0, Line Code P2
HITCHUY to HITCGBR duplicate found. 1st Distance: 15, Line Code _OO . 2nd Distance: 19, Line Code OO
